,advertising_id,recency,frequency,monetary,r,f,RFM
0,853b8f31-bbf9-4344-aa97-b381b407ff22,38,41,,1,5,Cannot Lose Them
1,4407acad-533d-4d5f-be42-7039591c9e2d,9,574,,4,5,Loyal Customers
2,98597eca-ffea-49e2-a761-cc583a5b8090,13,50,,4,5,Loyal Customers
3,b440816c-693d-4862-af08-2693555ef3d2,2,24,,5,5,Champions
4,b913c147-e1d2-4ee5-b880-3d53c3030d24,32,149,,1,5,Cannot Lose Them
5,09bd5c1b-fd63-482c-bf03-cbf50f6325cb,14,438,24.95386,4,5,Loyal Customers
6,6193ffe7-7bec-4696-98dc-a8e2846ee9f1,26,104,,2,5,Cannot Lose Them
7,8ebe29d3-f17d-45b2-acdc-33c387bb83ef,1,353,,5,5,Champions
8,5f9e6bdc-3929-4d5a-b167-5e496007a8e7,27,26,,2,5,Cannot Lose Them
9,8896cabc-ffe6-46ca-bd7b-ffc291105eda,34,55,,1,5,Cannot Lose Them
10,e0c72fb6-83e0-4544-a041-476a99a55c8e,3,28,,5,5,Champions
11,6052f6d7-322e-4eb1-a9fb-6f3f0b01fd6a,2,24,,5,5,Champions
12,0b2a62f5-2186-43fe-9878-7dbe018de6d7,37,32,,1,5,Cannot Lose Them
13,f53f57c4-60a1-40f3-9553-aff33eaef90e,37,57,,1,5,Cannot Lose Them
14,6bd833da-fb71-42ea-9638-c09cee07629a,3,109,,5,5,Champions
15,7ecffaf1-0437-403a-92b8-45cffda56dc7,33,64,,1,5,Cannot Lose Them
16,48c7c933-87ad-40e1-9495-d597198c3abb,9,33,,4,5,Loyal Customers
17,ce3a539c-c7cb-4901-ba7b-e9185cf65275,31,95,,2,5,Cannot Lose Them
18,bb89cf27-068c-460b-a79f-074af9d70b20,4,29,,5,5,Champions
19,426f4a0c-7d1a-46f5-a74c-f56ce5d6fb8f,38,61,,1,5,Cannot Lose Them
20,f5354e67-8002-4ee6-b7a5-46adc9c41799,11,56,,4,5,Loyal Customers
21,3f56e9ba-a0ea-4c5f-9659-cf61bfc3829e,26,31,,2,5,Cannot Lose Them
22,f45206db-11c5-42d1-962f-40e572dda30b,3,36,,5,5,Champions
23,f582825e-1040-4abf-a3c8-d4703e5107d7,16,27,,4,5,Loyal Customers
24,c74bd5af-d53b-4d7d-8ffa-8db9db58dc46,1,29,,5,5,Champions
25,7f4f0867-c0a6-410f-903a-b8c12c529000,33,108,,1,5,Cannot Lose Them
26,d790833e-f0b9-416b-bacd-612b36d274b5,1,94,,5,5,Champions
27,11f8025b-3020-4b71-963d-ba9305d7ee16,28,117,,2,5,Cannot Lose Them
28,b6acbb54-5c6a-422e-97a3-c0e22b00fe6b,37,37,,1,5,Cannot Lose Them
29,f98ab83c-f4e7-481a-b792-afbb50c99fe2,5,76,,5,5,Champions
30,02cd528a-bca3-4e30-b4a0-3786f09be92a,31,64,,2,5,Cannot Lose Them
31,c17b9c89-bcd5-431c-a2e4-d6a986b3f67b,30,224,,2,5,Cannot Lose Them
32,95e580f0-c8f7-4188-a471-6a593f6e0151,26,32,,2,5,Cannot Lose Them
33,cc4dd897-e637-4f3c-a495-76d2a249658e,1,188,,5,5,Champions
34,771d707e-8556-4a6a-b2d2-e650669d0677,33,27,,1,5,Cannot Lose Them
35,2e6d7fbb-7ab0-472a-846b-c03e619d39c9,14,272,,4,5,Loyal Customers
36,26299307-eb78-4212-97c4-836584748e5c,37,30,,1,5,Cannot Lose Them
37,66169464-22f5-4f8c-b939-24dd5998b246,31,99,,2,5,Cannot Lose Them
38,7d6a2cc3-57eb-4835-8169-0a9cc4ff3839,8,26,,5,5,Champions
39,7824f4fc-670d-45c2-b928-e20951ff7d1a,38,56,,1,5,Cannot Lose Them
40,50a188d4-28b0-4f54-9cdd-4013bae0db8a,27,78,,2,5,Cannot Lose Them
41,60b8b805-87bf-48f8-9236-b05959735c6a,23,157,,3,5,Loyal Customers
42,6cee10f3-3974-41bd-bc5a-0165183ff00d,36,26,,1,5,Cannot Lose Them
43,3d858c74-62b5-4063-8c1f-dc8a7fcbd18b,3,286,,5,5,Champions
44,c8e2d7e1-4849-4dba-a569-cb629164b1d2,18,24,,3,5,Loyal Customers
45,b9d34008-976b-4cb7-9f26-43a2e5b81087,17,107,,3,5,Loyal Customers
46,5081c256-3a81-4519-8976-c5ec7efa9baf,7,47,,5,5,Champions
47,58fed645-38f2-4ada-986c-1139efbef5de,24,205,,2,5,Cannot Lose Them
48,49225712-d88c-44ee-8210-89ee367b9cda,3,464,,5,5,Champions
49,a9b98411-ddca-4792-a3db-9eb82f0e1b4c,24,43,,2,5,Cannot Lose Them
50,a6df9472-c65d-4c23-b9f5-0573a905a57b,32,33,,1,5,Cannot Lose Them
51,94735aed-a599-47c8-9c8c-f4f625c84af1,17,51,,3,5,Loyal Customers
52,88a7a827-a682-4791-82be-286e825928d1,13,116,,4,5,Loyal Customers
53,45df45ff-4d7b-4c7f-86fe-7bbc144779c6,8,669,,5,5,Champions
54,38ac2fe9-92f8-4e3e-a290-815df02048c4,6,496,,5,5,Champions
55,ac6e3ab9-e33f-4f7d-b777-33b4de680c3e,19,115,4.654079,3,5,Loyal Customers
56,10fb35ae-b6db-4bf4-bdb7-426553097d78,22,84,,3,5,Loyal Customers
57,b274df16-53bd-4d56-8d1e-fcd5dae9e0f3,2,116,,5,5,Champions
