advertising_id,recency,frequency,monetary
fd12a0d9-b570-44c8-af9e-1f40c7337310,1,126,
da96a5bb-986a-4ea5-b3cf-1a510fce7bce,1,480,0.990728
a21fb4ed-904a-43a9-a983-ed5d510d2b11,1,421,
73bcad50-6f8e-4532-8ee3-4dfcfb8919b0,1,170,
b318aa46-aab5-4616-b4d0-0b3866124569,1,283,
1c2cddfe-7fcb-486c-a031-12b37e763e9b,1,37,
695eac66-8052-4672-a321-e8b9e584fa2d,1,44,
ee8783b7-e5f8-47f5-bf18-6683d85a8df1,1,89,
7f5cdb85-2248-40ef-8ee7-84f46c68345f,1,64,
59921211-a809-4faa-9b9c-6c6e1c36439f,1,355,
67dd7870-43c5-40d2-ae6b-43b919bb19fa,1,90,
b6d89f2f-8456-406c-8d2e-5033540cad19,1,67,
6ea07ce6-4f5b-41a0-9e63-a8ae592b2d31,1,70,
1e8cf638-ac82-4b74-ba1c-08ddc3c0a252,1,29,
f459b5e3-ae0d-4976-9d33-390aa61ff5f1,1,178,
3e577578-96e5-4c4a-937b-2866a5a5bb8a,1,207,
bdee61c7-ba1f-4a13-9185-609c8e138d2f,1,32,
df1fb2c1-96c7-4bb0-a89f-b386698cea98,1,75,
c834eba5-b099-4b92-942f-cb95e82adecd,1,145,
47da080e-196a-41f6-9acb-9e39175ffb93,1,42,
5191189c-30e1-43f0-a7d6-c4546979e538,1,49,
bcaa505a-4058-4396-801f-908a1b211a6c,1,26,
f5a6f1ac-8d97-4f35-b013-ac4dd22d5d71,1,43,
ffb57c0c-1416-45af-b97f-be38c82f6172,1,188,
e0c332bb-5210-4108-bf78-cb684a177f2e,1,35,
ca12295c-8a67-4a20-8888-62b0c2f9e8e0,1,33,
e407ad7a-bbd8-4ca0-a2dc-0546fec08ac6,1,28,
ecc28482-895c-4a61-bc10-52f9f8c0dd68,1,32,
2bbd10e2-68cd-4bb6-8d5b-e61f4677c85a,1,128,
a8d2e3d4-64eb-4d10-b493-1ceb58cad364,1,123,
44b55623-2a3a-4829-90cc-75cdc94186b1,1,93,
9fefa2f9-5dc7-4893-b57f-ebbc80e07cf8,1,102,
1356b370-6402-445a-89fd-b79d32a2c946,1,77,
b7ba0744-0e06-43ee-b9cb-5164a7ce35c0,1,31,
4961f044-443d-4136-9964-fd89e2ba82c3,1,32,
a17d5beb-a956-4fc5-87d2-cb0b485f8863,1,71,
303a0e8a-5803-4ce2-b2e9-4ba8da10446c,1,38,
1b31ecbc-8cb0-410d-9bf3-b03cb4fe9bf6,1,34,
796f2c5d-3b1a-47d3-8344-4e1115e8e762,1,119,
df5a1178-a532-4679-9823-7f5913060be7,1,79,
d36d3256-0987-4885-8df2-42649ee6769d,1,118,
2c301f28-48f6-4eb1-ae43-25045f1be43d,1,96,
4b812684-5284-47e1-a123-2a37b110061a,1,116,
ffd2f017-00bf-4663-b1c9-9d57c4053bcb,1,78,
27c21c11-5b99-4f2b-a91d-b48bef0f1931,1,32,
f05774cd-24fc-42e9-bc49-58eb01d501a6,1,45,
3e8b4e0d-c337-47d9-9d3e-d1683f60352a,1,35,
9c046229-054b-4949-bba5-29464f1d167b,1,36,
7873ed7b-9c29-41d3-9f21-0e1f59ada529,1,32,
03586c8b-4ba5-4ca3-b129-a0e506743687,1,25,
3b1c26c7-d94d-40f2-a61d-b1d3186a4d63,1,47,
ed134241-1dee-46b1-8bf6-6d81142f47d5,1,107,
56557800-8147-47be-8a35-3185ac0c7136,1,68,
cb5a71d3-54b7-418b-93df-5bcf5584ea87,1,143,
c9bf9477-5ebd-4acb-bfc6-f36240d595cb,1,177,
1b314327-4561-4611-bece-f675629be811,1,28,
8d3f9c4f-3a8b-46a4-9303-4102b386f120,1,24,
9ee93d63-9686-4e36-b0e3-5fbcdba52162,1,137,0.904687
f620aadd-4e4d-4876-abc2-1acd503fc2a5,1,110,
6c903e21-57a7-45fa-a7aa-bf9e70fcbf61,1,43,
6b795494-1b15-4f38-9a16-b09bf2191306,1,59,
9517d2ef-d4da-40df-8f25-6146ac78ed51,1,140,
1b80cc03-ce98-429a-91f9-914d14d62626,1,34,
bcafc8dd-8386-42d2-b1e9-e3caebf142b7,1,25,
5b0799be-9d2b-434a-8aa4-47cfef759377,1,80,
52b15af2-2bb3-4482-af93-dda70e947d76,1,103,
ff7de991-b648-41eb-a908-17895f3f925c,1,104,
f9cef192-a24f-469b-8c9f-ad30f9f8fdd0,1,120,
6efb64f7-784d-4f43-9805-981e64b1813b,1,24,
7a3c1acc-b904-4210-ba7d-0dd9ebedd31d,1,29,
f512e64a-5cd2-4c32-bf77-4ce634048599,1,59,
dfa9adae-4dae-423e-ab8d-9c9ff8ca21d7,1,101,
691a406a-ddee-4ad5-8450-ca6a79ed88ae,1,70,
90635391-025b-4abd-a5cf-ebfb154bc77a,1,33,
fde930cb-57cf-4d29-bc86-876f21c4822b,1,86,
bb6486d5-f804-4438-b355-f758cdca764c,1,26,
