project,country,install_date,user_count,buyer,dau,rev,LTV1,LTV3,LTV7
SK,Philippines,2020-04-18,121,0,287,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-16,128,1,340,5.036321,5.036321,5.036321,5.036321
SK,Vietnam,2020-04-16,448,0,948,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-20,404,1,1231,4.281648,0.0,0.0,0.0
SK,Philippines,2020-04-22,184,0,326,0.0,0.0,0.0,0.0
SK,China,2020-05-08,184,0,202,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-10,1487,1,2594,173.78506900000002,0.0,0.0,0.0
SK,Brazil,2020-04-08,1435,2,2111,9.20823,0.0,0.0,4.695608
SK,Brazil,2020-03-22,318,0,537,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-02,811,0,1356,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-10,440,2,807,9.889463,4.930401,4.930401,4.930401
SK,Vietnam,2020-04-14,561,0,978,0.0,0.0,0.0,0.0
SK,Vietnam,2020-05-16,1040,6,1317,64.659449,19.86651,64.659449,64.659449
SK,Indonesia,2020-04-15,272,1,613,4.73212,0.0,4.73212,4.73212
SK,Brazil,2020-05-22,790,0,1507,0.0,0.0,0.0,0.0
SK,France,2020-05-15,1273,5,1276,53.425601,23.713128,53.425601,53.425601
SK,Philippines,2020-04-06,75,0,146,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-12,1131,1,2356,4.576127,0.0,0.0,4.576127
SK,Russia,2020-05-10,45,0,64,0.0,0.0,0.0,0.0
SK,Thailand,2020-04-19,63,0,122,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-28,1244,2,2180,8.5679799999999986,4.256182,8.5679799999999986,8.5679799999999986
SK,Vietnam,2020-04-23,250,0,689,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-07,895,0,1396,0.0,0.0,0.0,0.0
SK,Brazil,2020-05-11,1908,1,3409,38.155216,38.155216,38.155216,38.155216
SK,Vietnam,2020-05-17,376,0,843,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-15,691,0,1717,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-26,220,0,692,0.0,0.0,0.0,0.0
SK,Vietnam,2020-03-31,325,2,426,9.884178,0.0,4.90756,4.90756
SK,France,2020-05-17,357,4,793,160.51712,101.037091,160.51712,160.51712
SK,Indonesia,2020-04-10,384,1,809,4.784606,0.0,0.0,0.0
SK,Brazil,2020-04-16,670,0,1634,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-18,617,0,1561,0.0,0.0,0.0,0.0
SK,Indonesia,2020-04-07,624,0,797,0.0,0.0,0.0,0.0
SK,Canada,2020-05-10,3,0,4,0.0,0.0,0.0,0.0
SK,Indonesia,2020-04-14,234,0,571,0.0,0.0,0.0,0.0
SK,Brazil,2020-03-25,370,1,910,4.654079,0.0,0.0,4.654079
SK,Brazil,2020-03-27,115,0,449,0.0,0.0,0.0,0.0
SK,Vietnam,2020-05-19,371,0,716,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-12,399,2,830,9.936539,4.949544,4.949544,4.949544
SK,Vietnam,2020-03-17,168,2,188,28.955563,4.994295,24.953860000000002,24.953860000000002
SK,Indonesia,2020-04-20,264,1,605,4.784606,4.784606,4.784606,4.784606
SK,Vietnam,2020-04-08,285,1,661,4.943744,4.943744,4.943744,4.943744
SK,Iraq,2020-05-13,2,0,3,0.0,0.0,0.0,0.0
